impl,procs,size,time,threads
OMP,10,3000,9.20838816,4
OMP,1,5000,1131.94997994,1
OMP,1,5000,569.86975604,2
OMP,1,5000,384.35389984,3
OMP,1,5000,291.88339599,4
OMP,2,5000,574.46503154,1
OMP,2,5000,292.13834527,2
OMP,2,5000,197.68521579,3
OMP,2,5000,151.36040453,4
OMP,3,5000,384.70566565,1
OMP,3,5000,196.12901263,2
OMP,3,5000,133.13618799,3
OMP,3,5000,102.54642065,4
OMP,4,5000,291.85666910,1
OMP,4,5000,150.59362126,2
OMP,4,5000,103.14778729,3
OMP,4,5000,87.33276658,4
OMP,5,5000,237.76837740,1
OMP,5,5000,123.53527443,2
OMP,5,5000,104.47600266,3
OMP,5,5000,103.58114718,4
OMP,6,5000,205.40979936,1
OMP,6,5000,115.11114720,2
OMP,6,5000,115.44696974,3
OMP,6,5000,104.53519910,4
OMP,7,5000,172.14415377,1
OMP,7,5000,87.14593962,2
OMP,7,5000,74.48725318,3
OMP,7,5000,73.09970461,4
OMP,8,5000,151.68814928,1
OMP,8,5000,76.09997140,2
OMP,8,5000,65.41659085,3
OMP,8,5000,64.18473730,4
OMP,9,5000,135.01496091,1
OMP,9,5000,67.79302715,2
OMP,9,5000,58.08248654,3
OMP,9,5000,58.07211942,4
OMP,10,5000,122.13369897,1
OMP,10,5000,62.55712366,2
OMP,10,5000,52.55913329,3
OMP,10,5000,52.15033220,4
